"","date","lmfit.pred","y164_holdout"
"50","20061","0.00889491301207738","0.00637474523"
"51","20062","0.00552361691753629","0.00660519789173913"
"55","20072","0.00420062321781412","0.00374410374171875"
"57","20074","0.00555433992143648","0.006257547335"
"61","20084","0.0240746039027812","0.0226832365635938"
"62","20091","0.0250939088486693","0.0292578065304762"
"78","20131","0.0134291854644906","0.0164725973833871"
"79","20132","0.0144874123844569","0.0168286276995385"
"82","20141","0.022612964955684","0.0231477242055556"
"95","20172","0.00590250574839028","0.0123228700661538"
